page,panel_index,out_path,x,y,w,h
X/X cap 1 - 01.jpg,1,Vin/X cap 1 - 01_001.png,0,0,444,648
X/X cap 1 - 02.jpg,1,Vin/X cap 1 - 02_001.png,0,0,432,652
X/X cap 1 - 03.jpg,1,Vin/X cap 1 - 03_001.png,0,0,311,800
X/X cap 1 - 04.JPG,1,Vin/X cap 1 - 04_001.png,0,0,648,1050
X/X cap 1 - 05.JPG,1,Vin/X cap 1 - 05_001.png,0,0,612,1050
X/X cap 1 - 06.JPG,1,Vin/X cap 1 - 06_001.png,0,0,616,1050
X/X cap 1 - 07.JPG,1,Vin/X cap 1 - 07_001.png,0,0,1295,1050
X/X cap 1 - 08.JPG,1,Vin/X cap 1 - 08_001.png,0,0,636,1050
X/X cap 1 - 09.JPG,1,Vin/X cap 1 - 09_001.png,0,0,609,1050
X/X cap 1 - 10.JPG,1,Vin/X cap 1 - 10_001.png,0,0,1300,1050
X/X cap 1 - 11.JPG,1,Vin/X cap 1 - 11_001.png,0,0,1303,1050
X/X cap 1 - 12.JPG,1,Vin/X cap 1 - 12_001.png,0,0,588,1050
X/X cap 1 - 13.JPG,1,Vin/X cap 1 - 13_001.png,0,0,602,1050
X/X cap 1 - 14.JPG,1,Vin/X cap 1 - 14_001.png,0,0,633,1050
X/X cap 1 - 15.JPG,1,Vin/X cap 1 - 15_001.png,0,0,665,1050
X/X cap 1 - 16.JPG,1,Vin/X cap 1 - 16_001.png,0,0,670,1050
X/X cap 1 - 17.JPG,1,Vin/X cap 1 - 17_001.png,0,0,637,1050
X/X cap 1 - 18.JPG,1,Vin/X cap 1 - 18_001.png,0,0,631,1050
X/X cap 1 - 19.JPG,1,Vin/X cap 1 - 19_001.png,0,0,640,1050
X/X cap 1 - 20.JPG,1,Vin/X cap 1 - 20_001.png,0,0,633,1050
X/X cap 1 - 21.JPG,1,Vin/X cap 1 - 21_001.png,0,0,648,1050
X/X cap 1 - 22.JPG,1,Vin/X cap 1 - 22_001.png,0,0,634,1050
X/X cap 1 - 23.JPG,1,Vin/X cap 1 - 23_001.png,0,0,647,1050
X/X cap 1 - 24.JPG,1,Vin/X cap 1 - 24_001.png,0,0,645,1050
X/X cap 1 - 25.JPG,1,Vin/X cap 1 - 25_001.png,0,0,644,1050
X/X cap 1 - 26.JPG,1,Vin/X cap 1 - 26_001.png,0,0,654,1050
X/X cap 1 - 27.JPG,1,Vin/X cap 1 - 27_001.png,0,0,645,1050
X/X cap 1 - 28.JPG,1,Vin/X cap 1 - 28_001.png,0,0,637,1050
X/X cap 1 - 29.JPG,1,Vin/X cap 1 - 29_001.png,0,0,645,1050
X/X cap 1 - 30.JPG,1,Vin/X cap 1 - 30_001.png,0,0,641,1050
X/X cap 1 - 31.JPG,1,Vin/X cap 1 - 31_001.png,0,0,635,1050
X/X cap 1 - 32.JPG,1,Vin/X cap 1 - 32_001.png,0,0,652,1050
X/X cap 1 - 33.JPG,1,Vin/X cap 1 - 33_001.png,0,0,631,1050
X/X cap 1 - 34.JPG,1,Vin/X cap 1 - 34_001.png,0,0,1306,1050
X/X cap 1 - 35.JPG,1,Vin/X cap 1 - 35_001.png,0,0,639,1050
X/X cap 1 - 36.JPG,1,Vin/X cap 1 - 36_001.png,0,0,649,1050
X/X cap 1 - 37.JPG,1,Vin/X cap 1 - 37_001.png,0,0,643,1050
X/X cap 1 - 38.JPG,1,Vin/X cap 1 - 38_001.png,0,0,652,1050
X/X cap 1 - 39.JPG,1,Vin/X cap 1 - 39_001.png,0,0,645,1050
X/X cap 1 - 40.JPG,1,Vin/X cap 1 - 40_001.png,0,0,652,1050
X/X cap 1 - 41.JPG,1,Vin/X cap 1 - 41_001.png,0,0,655,1050
X/X cap 1 - 42.JPG,1,Vin/X cap 1 - 42_001.png,0,0,652,1050
X/X cap 1 - 43.JPG,1,Vin/X cap 1 - 43_001.png,0,0,654,1050
X/X cap 1 - 44.JPG,1,Vin/X cap 1 - 44_001.png,0,0,665,1050
X/X cap 1 - 45.JPG,1,Vin/X cap 1 - 45_001.png,0,0,663,1050
X/X cap 1 - 46.JPG,1,Vin/X cap 1 - 46_001.png,0,0,648,1050
X/X cap 1 - 47.JPG,1,Vin/X cap 1 - 47_001.png,0,0,664,1050
X/X cap 1 - 48.JPG,1,Vin/X cap 1 - 48_001.png,0,0,668,1050
X/X cap 1 - 49.JPG,1,Vin/X cap 1 - 49_001.png,0,0,662,1050
X/X cap 1 - 50.JPG,1,Vin/X cap 1 - 50_001.png,0,0,671,1050
X/X cap 1 - 51.JPG,1,Vin/X cap 1 - 51_001.png,0,0,665,1050
X/X cap 1 - 52.JPG,1,Vin/X cap 1 - 52_001.png,0,0,632,1050
X/X cap 1 - 53.JPG,1,Vin/X cap 1 - 53_001.png,0,0,665,1050
X/X cap 1 - 54.JPG,1,Vin/X cap 1 - 54_001.png,0,0,662,1050
X/X cap 1 - 55.JPG,1,Vin/X cap 1 - 55_001.png,0,0,1291,1050
